ANO_ELEICAO;CD_TIPO_ELEICAO;NR_TURNO;TP_ABRANGENCIA;ID_UF;CD_CARGO;NR_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO
2022;2;1;ESTADUAL;25;7;23123;FINHA DA SAGRADA FAMÍLIA;23
2022;2;1;ESTADUAL;19;7;14142;HAENDEL BONECO;14
2022;2;1;ESTADUAL;19;7;19199;SARGENTO CAMARA;19
2022;2;1;ESTADUAL;26;6;5105;CARLÃO DA PROTEÇÃO;51
2022;2;1;ESTADUAL;19;6;4078;ANDERSON PILOTO;40
2022;2;1;ESTADUAL;5;7;40678;ALLAN BAPURU;40
2022;2;1;ESTADUAL;6;7;44101;IVAN CABELEIREIRO;44
2022;2;1;ESTADUAL;1;7;55555;DR MÁRIO MARCELO;55
2022;2;1;ESTADUAL;7;8;70300;ELEN FRANCO;70
2022;2;1;ESTADUAL;9;6;7733;PASTORA SHEILA FONSECA;77
2022;2;1;ESTADUAL;5;7;50010;RONY DO ANDAIME;50
2022;2;1;ESTADUAL;9;6;3000;POLLY DO NOVO;30
2022;2;1;ESTADUAL;14;7;11333;MARCOS;11
2022;2;1;ESTADUAL;23;3;13;EDEGAR PRETTO;13
2022;2;1;ESTADUAL;1;6;4545;SÉRGIO BARROS;45
2022;2;2;ESTADUAL;25;3;13;ROGÉRIO CARVALHO;13
2022;2;1;ESTADUAL;24;6;9055;ALE SALTON;90
2022;2;1;ESTADUAL;23;7;11240;ADOLFO BRITO;11
2022;2;1;ESTADUAL;11;7;11901;MARCOS CRISPIM;11
2022;2;1;ESTADUAL;7;8;20111;RITA MOTA;20
2022;2;1;ESTADUAL;14;7;19209;DIESSICA SILVA;19
2022;2;1;ESTADUAL;24;7;20690;JOÃO LUIZ DA BEGA;20
2022;2;1;ESTADUAL;13;7;15150;VALTINHO MIOTTO;15
2022;2;1;ESTADUAL;21;7;22456;EZEQUIEL DA PAULISTA;22
2022;2;1;ESTADUAL;1;7;13122;ROSALINA;13
2022;2;1;ESTADUAL;18;7;36789;JOÃO FRANÇA;36
2022;2;1;ESTADUAL;20;7;35700;PEDRO NETTO OMIÓ DO MOSSORÓ;35
2022;2;1;ESTADUAL;2;6;4555;MARIA TAVARES;45
